geoid,county_name,acs_population,acs_median_hh_income,svi_overall_pctile,svi_ses_pctile,svi_household_comp_pctile,svi_minority_lang_pctile,svi_housing_transport_pctile,svi_overall_score,svi_ses_score,svi_household_comp_score,svi_minority_lang_score,svi_housing_transport_score,svi_poverty_150pct_pct,svi_unemployed_pct,svi_housing_cost_burden_pct,svi_no_hs_diploma_pct,svi_uninsured_pct,svi_age_65plus_pct,svi_age_under17_pct,svi_disability_pct,svi_single_parent_hh_pct,svi_limited_english_pct,svi_minority_pct,svi_multiunit_housing_pct,svi_mobile_homes_pct,svi_crowding_pct,svi_no_vehicle_pct,svi_group_quarters_pct,svi_flag_theme1,svi_flag_theme2,svi_flag_theme3,svi_flag_theme4,svi_flag_total,nri_composite_score,nri_composite_value,nri_composite_rating,nri_social_vuln_score,nri_social_vuln_rating,nri_resilience_score,nri_resilience_rating,nri_coastal_flood_eal_total_usd,nri_coastal_flood_eal_score,nri_coastal_flood_risk_score,nri_coastal_flood_risk_value,nri_coastal_flood_risk_rating,nri_inland_flood_eal_total_usd,nri_inland_flood_eal_score,nri_inland_flood_risk_score,nri_inland_flood_risk_value,nri_inland_flood_risk_rating,nri_hurricane_eal_total_usd,nri_hurricane_eal_score,nri_hurricane_risk_score,nri_hurricane_risk_value,nri_hurricane_risk_rating,nfhl_in_floodplain,INTPTLAT,INTPTLON,county,ST,STATE,ST_ABBR,STCNTY,LOCATION,State Name,State Name Abbreviation,nri_all_hazards_eal_total_usd,eal_score,eal_rating,nri_flood_eal_total_usd,nri_top3_hazards_eal_total_usd,nri_top3_eal_per_capita_usd,approx_tract_income_pool_usd,nri_top3_eal_as_share_of_income_pool,priority_tract_flag,nri_top3_eal_per_capita_usd_capped,nri_top3_eal_per_capita_log,eal_per_capita_risk_tier,flood_hurricane_share_of_total_eal,flood_hurricane_dominance,nri_all_hazards_eal_per_capita_usd
12011060303,Broward,6883,38319,0.9742,0.943,0.8325,0.9215,0.9621,11.8481,4.1896,3.045,0.9215,3.692,52.1,6.4,66.1,14.9,17.7,9.9,31.1,9.0,19.2,9.2,93.5,58.9,0.0,12.9,18.4,3.5,2.0,2.0,1.0,3.0,8.0,58.2010393255087,1777513.90598495,Relatively Moderate,84.64135521,Very High,34.8134107333254,Relatively Low,0.0,0.0,0.0,0.0,No Rating,449244.11507946,37.7093266317495,53.101922871107,686889.777485108,Relatively Moderate,475809.540004296,89.4529789031874,92.2100379586672,727508.04760355,Relatively High,True,+26.1580017,-080.2229792,011,12.0,Florida,FL,12011.0,Census Tract 603.03; Broward County; Florida,Florida,FL,1162541.19352207,40.9716513610635,Relatively Low,449244.11507946,925053.655083756,134.3968698363731,263749677,0.003507316731552835,False,134.3968698363731,4.908210242311196,Low,0.7957168831851759,Very high dominance,168.90036227256576
12086013600,Miami-Dade,5857,44688,0.8396,0.9022,0.6404,0.9805,0.5734,10.0686,3.9561,2.7134,0.9805,2.4186,29.2,5.5,52.6,19.3,18.9,13.7,19.2,8.9,7.7,44.5,98.2,69.0,0.0,5.2,7.1,0.0,1.0,1.0,1.0,1.0,4.0,57.2211717978904,1745034.188868,Relatively Moderate,82.1346917,Very High,33.6358251392015,Relatively Low,418.5898,75.8941838250902,76.683867092582,625.188411987282,Very Low,411941.059044611,33.6578434365972,47.3463903059708,615258.127494887,Relatively Low,556158.28272317,90.5805432810184,93.0634050330381,830655.007812596,Relatively High,True,+25.8713902,-080.3262779,086,12.0,Florida,FL,12086.0,Census Tract 136; Miami-Dade County; Florida,Florida,FL,1168373.40249083,41.2241350964136,Relatively Low,412359.648844611,968517.931567781,165.36075321287024,261737616,0.0037003390890814145,False,165.36075321287024,5.114158642472481,Low,0.8289455490025864,Very high dominance,199.48325123626944
12086013700,Miami-Dade,6199,41081,0.956,0.8846,0.9053,0.964,0.9148,11.4847,3.8686,3.2212,0.964,3.4309,39.8,2.9,57.2,22.8,18.6,19.0,18.6,12.0,9.9,44.1,97.0,82.9,0.0,5.0,9.6,4.2,1.0,1.0,1.0,1.0,4.0,74.054915391293,2473629.76456834,Relatively Moderate,97.27655038,Very High,33.6358251392015,Relatively Low,2564.47,81.3309276162174,82.9278947224725,4551.83362789061,Relatively Low,430035.515891135,35.6236935434624,58.7409177933954,763296.167403227,Relatively Moderate,720928.059653951,92.3688548434015,95.4576128215943,1279619.01883149,Relatively High,True,+25.8631476,-080.3295325,086,12.0,Florida,FL,12086.0,Census Tract 137; Miami-Dade County; Florida,Florida,FL,1393625.04013185,51.0651290602908,Relatively Low,432599.98589113494,1153528.0455450858,186.08292394661814,254661119,0.004529659062501354,False,186.08292394661814,5.231551962127349,Moderate,0.8277176516833762,Very high dominance,224.814492681376
12086980100,Miami-Dade,0,-666666666,,,,,,-999.0,-999.0,-999.0,-999.0,-999.0,,,,,,,,,,,,,,,,,-999.0,-999.0,-999.0,-999.0,-999.0,0.083241173462714,2419.22006275052,Very Low,0.393295031,Very Low,33.6358251392015,Relatively Low,172.306,73.7900658034388,72.659513473667,97.375972800984,Very Low,3062.65663540628,0.324118655612185,0.22118368948664,1730.81128473805,Very Low,709.00158341931,31.4000360155698,27.5650217910867,400.680875320031,Very Low,True,+25.4728751,-080.1889698,086,12.0,Florida,FL,12086.0,Census Tract 9801; Miami-Dade County; Florida,Florida,FL,4280.79042644571,0.105690865960495,Very Low,3234.9626354062802,3943.9642188255903,,0,,False,,,,0.921316819076382,Very high dominance,
12011110501,Broward,3996,78599,0.5381,0.487,0.33,0.9169,0.5329,7.8961,2.4255,2.2371,0.9169,2.3166,8.3,3.3,26.7,20.2,14.1,11.6,20.0,9.3,5.5,6.2,93.0,1.1,0.0,12.0,4.0,0.3,0.0,0.0,1.0,1.0,2.0,10.9045937236155,599791.604574386,Very Low,32.70271871,Relatively Low,34.8134107333254,Relatively Low,0.0,0.0,0.0,0.0,No Rating,231124.1796,12.7204828898231,9.61435553494346,231522.209874774,Very Low,269094.047995559,84.7681843997174,84.8066919724448,269557.46804122,Relatively Moderate,True,+25.9853842,-080.2192385,011,12.0,Florida,FL,12011.0,Census Tract 1105.01; Broward County; Florida,Florida,FL,598760.449864413,13.0023251990511,Very Low,231124.1796,500218.227595559,125.17973663552527,314081604,0.001592637777014024,False,125.17973663552527,4.837707371727974,Low,0.83542296039899,Very high dominance,149.83995241852176
12086001004,Miami-Dade,7302,46473,0.9359,0.9286,0.7828,0.9715,0.8525,11.2049,4.0988,2.9468,0.9715,3.1878,37.4,9.6,45.4,22.3,13.4,10.7,31.0,5.6,19.4,10.8,97.5,20.9,6.9,6.3,20.1,0.0,0.0,2.0,1.0,1.0,4.0,67.3801624392042,2140545.91816415,Relatively Moderate,70.01362317,Relatively High,33.6358251392015,Relatively Low,155.3826,73.5857567395457,74.0218964152128,208.363640371256,Very Low,560011.436006626,48.9113840806069,57.8942361433175,750959.38319912,Relatively Moderate,770749.101126968,92.8079677522129,94.366652607901,1033552.58905237,Relatively High,True,+25.8432689,-080.2227936,086,12.0,Florida,FL,12086.0,Census Tract 10.04; Miami-Dade County; Florida,Florida,FL,1596265.0181726,58.7335885572022,Relatively Moderate,560166.818606626,1330915.9197335942,182.26731302842978,339345846,0.00392200445481096,False,182.26731302842978,5.210945813948939,Moderate,0.8337687693345702,Very high dominance,218.6065486404547
12086001005,Miami-Dade,1640,26136,0.9876,0.8968,0.8777,0.9533,0.9968,12.2576,3.9222,3.1452,0.9533,4.2369,51.6,7.6,42.0,25.6,10.3,41.8,10.2,24.4,2.3,18.1,96.3,65.5,0.6,7.4,31.6,15.6,2.0,2.0,1.0,3.0,8.0,32.5984326876197,1086701.76290148,Relatively Low,90.43949535,Very High,33.6358251392015,Relatively Low,2689.669098955,81.4821693907875,82.7422393316406,4390.07333087688,Relatively Low,305183.318360748,21.1745778237076,36.3930410378985,498119.693416772,Relatively Low,279654.915432179,85.0895540995415,88.8134401799522,456452.277555046,Relatively Moderate,True,+25.8595676,-080.2142738,086,12.0,Florida,FL,12086.0,Census Tract 10.05; Miami-Dade County; Florida,Florida,FL,665790.27983394,16.2458604410832,Very Low,307872.987459703,587527.902891882,358.2487212755378,42863040,0.013707098304083938,False,358.2487212755378,5.88401496552493,High,0.8824519081870976,Very high dominance,405.96968282557316
12099007610,Palm Beach,4622,102072,0.3377,0.3241,0.3578,0.197,0.4868,6.5907,1.9049,2.2811,0.197,2.2077,10.5,5.7,20.8,1.1,17.9,32.7,22.4,8.1,1.9,1.5,17.8,7.3,0.0,2.9,1.5,3.6,0.0,0.0,0.0,0.0,0.0,76.2786438823683,2608959.42836743,Relatively Moderate,26.48699876,Relatively Low,21.9748844923587,Relatively Low,0.0,0.0,0.0,0.0,No Rating,1256819.3639219,85.0905418418395,79.3312166292081,1204512.59815195,Relatively High,1338088.29982824,95.9094623983599,95.4716715872346,1282399.25390185,Relatively High,True,+26.3602395,-080.1606178,099,12.0,Florida,FL,12099.0,Census Tract 76.10; Palm Beach County; Florida,Florida,FL,2722255.23775315,83.1035535617822,Relatively Moderate,1256819.3639219,2594907.66375014,561.4252842384552,471776784,0.005500286897860875,False,561.4252842384552,6.3322582972356285,Extreme,0.9532198258866725,Very high dominance,588.9777667142255
12099007612,Palm Beach,6038,95948,0.3761,0.2276,0.4199,0.4313,0.5838,6.822,1.5749,2.3743,0.4313,2.4415,11.7,4.3,25.9,3.9,6.7,25.0,19.0,10.4,4.5,1.6,34.6,15.1,0.0,2.1,6.7,0.4,0.0,0.0,0.0,0.0,0.0,66.3420260901621,2095766.6184546,Relatively Moderate,61.61760351,Relatively High,21.9748844923587,Relatively Low,0.0,0.0,0.0,0.0,No Rating,755806.509858476,64.3774807994927,69.884532600811,958430.439007384,Relatively Moderate,777839.519408253,92.8647615353714,94.0770420357093,986370.271146962,Relatively High,True,+26.3524405,-080.1352295,099,12.0,Florida,FL,12099.0,Census Tract 76.12; Palm Beach County; Florida,Florida,FL,1652695.89623277,60.6736031190549,Relatively Moderate,755806.509858476,1533646.029266729,253.9990111405646,579334024,0.0026472569635694813,False,253.9990111405646,5.541259667270769,High,0.9279662597109313,Very high dominance,273.71578274805734
12086001006,Miami-Dade,4936,30657,0.9945,0.9807,0.9406,0.9687,0.9801,12.6734,4.5052,3.3494,0.9687,3.8501,52.0,13.0,37.9,32.8,22.3,16.0,30.0,7.8,16.6,23.9,97.3,8.4,32.4,23.1,37.7,0.1,3.0,3.0,1.0,2.0,9.0,50.2419939828523,1526724.2795364,Relatively Low,81.05668424,Very High,33.6358251392015,Relatively Low,5497.943548,84.310655911696,85.2431266551997,8126.9424746699,Relatively Low,528752.749184897,45.92150691688,59.9419690105003,781590.996421271,Relatively Moderate,341363.985882779,86.7351885969165,89.552931252636,504596.93737717,Relatively Moderate,True,+25.8526312,-080.2034403,086,12.0,Florida,FL,12086.0,Census Tract 10.06; Miami-Dade County; Florida,Florida,FL,1032841.55491614,34.8451041642201,Relatively Low,534250.692732897,875614.678615676,177.3935734634676,151322952,0.005786397020695684,False,177.3935734634676,5.183992196310218,Moderate,0.847772511134847,Very high dominance,209.24666833795382
12086001101,Miami-Dade,5177,60679,0.8446,0.8572,0.6611,0.8785,0.7069,10.1094,3.7452,2.7415,0.8785,2.7442,32.9,5.2,34.1,15.0,28.6,15.0,23.3,9.1,6.4,10.4,88.6,0.0,2.7,11.0,1.9,4.1,1.0,0.0,0.0,1.0,2.0,25.4004495023367,928921.085508691,Relatively Low,39.14944027,Relatively Low,33.6358251392015,Relatively Low,5080.012993,83.9736786244959,83.5694979113769,5348.13003863509,Relatively Low,325005.42906972,23.5537966507739,20.1931195224335,342158.829184565,Relatively Low,376840.792696927,87.5898657727418,87.723885842823,396730.001671769,Relatively Moderate,True,+25.8764691,-080.1927299,086,12.0,Florida,FL,12086.0,Census Tract 11.01; Miami-Dade County; Florida,Florida,FL,882351.616315624,27.3422270239801,Relatively Low,330085.44206271996,706926.2347596469,136.55132987437645,314135183,0.0022503886002468144,False,136.55132987437645,4.923997155621748,Low,0.8011842690462914,Very high dominance,170.43685847317442
